timestamp,position_x,position_y,position_z,density_value,particle_count,volume,emission_rate
2026-02-28T16:02:27,1.9963456828826445,-0.8506376699170133,-2.0,0.0,0,14.137166941154067,0.0
2026-02-28T16:02:27,-2.3123645314274857,-1.2816330119831238,0.0,0.0,0,24.429024474314232,0.0
2026-02-28T16:02:27,0.6832991299580242,0.9531108908896293,2.0,0.09994955766212993,3,38.79238608652677,0.0
2026-02-28T16:02:27,1.9963456828826445,-0.8506376699170133,-2.0,0.0,0,14.137166941154067,0.0
2026-02-28T16:02:27,-2.3123645314274857,-1.2816330119831238,0.0,0.0,0,24.429024474314232,0.0
2026-02-28T16:02:27,0.6832991299580242,0.9531108908896293,2.0,0.09808339093441247,3,38.79238608652677,0.0
2026-02-28T16:02:27,1.9963456828826445,-0.8506376699170133,-2.0,0.0,0,14.137166941154067,0.0
2026-02-28T16:02:27,-2.3123645314274857,-1.2816330119831238,0.0,0.0,0,24.429024474314232,0.0
2026-02-28T16:02:27,0.6832991299580242,0.9531108908896293,2.0,0.09626672561963046,3,38.79238608652677,0.0
2026-02-28T16:02:27,1.9963456828826445,-0.8506376699170133,-2.0,0.0,0,14.137166941154067,0.0
2026-02-28T16:02:27,-2.3123645314274857,-1.2816330119831238,0.0,0.0,0,24.429024474314232,0.0
2026-02-28T16:02:27,0.6832991299580242,0.9531108908896293,2.0,0.09449812224628626,3,38.79238608652677,0.0
2026-02-28T16:02:27,1.9963456828826445,-0.8506376699170133,-2.0,0.0,0,14.137166941154067,0.0
2026-02-28T16:02:27,-2.3123645314274857,-1.2816330119831238,0.0,0.0,0,24.429024474314232,0.0
2026-02-28T16:02:27,0.6832991299580242,0.9531108908896293,2.0,0.09277618519374152,3,38.79238608652677,0.0
2026-02-28T16:02:27,1.9963456828826445,-0.8506376699170133,-2.0,0.0,0,14.137166941154067,0.0
2026-02-28T16:02:27,-2.3123645314274857,-1.2816330119831238,0.0,0.0,0,24.429024474314232,0.0
2026-02-28T16:02:27,0.6832991299580242,0.9531108908896293,2.0,0.09109956132772805,3,38.79238608652677,0.0
2026-02-28T16:02:27,1.9963456828826445,-0.8506376699170133,-2.0,0.0,0,14.137166941154067,0.0
2026-02-28T16:02:27,-2.3123645314274857,-1.2816330119831238,0.0,0.0,0,24.429024474314232,0.0
2026-02-28T16:02:27,0.6832991299580242,0.9531108908896293,2.0,0.08946693867871076,3,38.79238608652677,0.0
2026-02-28T16:02:27,1.9963456828826445,-0.8506376699170133,-2.0,0.0,0,14.137166941154067,0.0
2026-02-28T16:02:27,-2.3123645314274857,-1.2816330119831238,0.0,0.0,0,24.429024474314232,0.0
2026-02-28T16:02:27,0.6832991299580242,0.9531108908896293,2.0,0.08787704516175095,3,38.79238608652677,0.0
2026-02-28T16:02:27,1.9963456828826445,-0.8506376699170133,-2.0,0.0,0,14.137166941154067,0.0
2026-02-28T16:02:27,-2.3123645314274857,-1.2816330119831238,0.0,0.0,0,24.429024474314232,0.0
2026-02-28T16:02:27,0.6832991299580242,0.9531108908896293,2.0,0.0863286473365619,3,38.79238608652677,0.0
2026-02-28T16:02:27,1.9963456828826445,-0.8506376699170133,-2.0,0.0,0,14.137166941154067,0.0
2026-02-28T16:02:27,-2.3123645314274857,-1.2816330119831238,0.0,0.0,0,24.429024474314232,0.0
2026-02-28T16:02:27,0.6832991299580242,0.9531108908896293,2.0,0.08482054920648979,3,38.79238608652677,0.0
2026-02-28T16:02:27,1.9963456828826445,-0.8506376699170133,-2.0,0.0,0,14.137166941154067,0.0
2026-02-28T16:02:27,-2.3123645314274857,-1.2816330119831238,0.0,0.0,0,24.429024474314232,0.0
2026-02-28T16:02:27,0.6832991299580242,0.9531108908896293,2.0,0.08335159105519269,3,38.79238608652677,0.0
2026-02-28T16:02:27,1.9963456828826445,-0.8506376699170133,-2.0,0.0,0,14.137166941154067,0.0
2026-02-28T16:02:27,-2.3123645314274857,-1.2816330119831238,0.0,0.0,0,24.429024474314232,0.0
2026-02-28T16:02:27,0.6832991299580242,0.9531108908896293,2.0,0.08192064831982934,3,38.79238608652677,0.0
